title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
The Midnight Library,ISBN not found,Matt Haig,"['Fiction', 'Fantasy', 'Contemporary', 'Audiobook', 'Magical Realism', 'Science Fiction', 'Adult']",4.00,1772068,183507,288,Hardcover,"First published August 13, 2020","Between life and death there is a library, and within that library, the shelves go on forever. Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices . . . Would you have done anything different, if you had the chance to undo your regrets? A novel about all the choices that go into a life well lived.Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better?Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place.",72828
Anxious People,ISBN not found,Fredrik Backman,"['Fiction', 'Contemporary', 'Audiobook', 'Mystery', 'Humor', 'Adult', 'Literary Fiction']",4.18,634916,77744,336,Hardcover,"First published April 25, 2019","A poignant, charming novel about a crime that never took place, a would-be bank robber who disappears into thin air, and eight extremely anxious strangers who find they have more in common than they ever imaginedLooking at real estate isn't usually a life-or-death situation, but an apartment open house becomes just that when a failed bank robber bursts in and takes a group of strangers hostage. The captives include a recently retired couple who relentlessly hunt down fixer-uppers to avoid the painful truth that they can't fix up their own marriage. There's a wealthy banker who has been too busy making money to care about anyone else and a young couple who are about to have their first child but can't seem to agree on anything, from where they want to live to how they met in the first place. Add to the mix an eighty-seven-year-old woman who has lived long enough not to be afraid of someone waving a gun in her face, a flustered but still-ready-to-make-a-deal real estate agent, and a mystery man who has locked himself in the apartment's only bathroom, and you've got the worst group of hostages in the world.Each of them carries a lifetime of grievances, hurts, secrets, and passions that are ready to boil over. None of them is entirely who they appear to be. And all of them—the bank robber included—desperately crave some sort of rescue. As the authorities and the media surround the premises, these reluctant allies will reveal surprising truths about themselves and set in a motion a chain of events so unexpected that even they can hardly explain what happens next. Humorous, compassionate, and wise, Anxious People is an ingeniously constructed story about the enduring power of friendship, forgiveness, and hope—the things that save us, even in the most anxious of times.Includes short story - The Last Round of Golf",72823
American Dirt,ISBN not found,Jeanine Cummins,"['Fiction', 'Audiobook', 'Contemporary', 'Historical Fiction', 'Book Club', 'Thriller', 'Adult']",4.37,572483,44868,380,Hardcover,"First published January 21, 2020","Jeanine Cummins's American Dirt, the #1 New York Times bestseller and Oprah Book Club pick that has sold over two million copies, is finally available in paperback.Lydia lives in Acapulco. She has a son, Luca, the love of her life, and a wonderful husband who is a journalist. And while cracks are beginning to show in Acapulco because of the cartels, Lydia’s life is, by and large, fairly comfortable. But after her husband’s tell-all profile of the newest drug lord is published, none of their lives will ever be the same.Forced to flee, Lydia and Luca find themselves joining the countless people trying to reach the United States. Lydia soon sees that everyone is running from something. But what exactly are they running to?",67226
Such a Fun Age,ISBN not found,Kiley Reid,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Literary Fiction', 'Race', 'Adult Fiction']",3.79,521858,41834,310,Hardcover,"First published December 31, 2019","A striking and surprising debut novel from an exhilarating new voice, Such a Fun Age is a page-turning and big-hearted story about race and privilege, set around a young black babysitter, her well-intentioned employer, and a surprising connection that threatens to undo them both.Alix Chamberlain is a woman who gets what she wants and has made a living, with her confidence-driven brand, showing other women how to do the same. So she is shocked when her babysitter, Emira Tucker, is confronted while watching the Chamberlains' toddler one night, walking the aisles of their local high-end supermarket. The store's security guard, seeing a young black woman out late with a white child, accuses Emira of kidnapping two-year-old Briar. A small crowd gathers, a bystander films everything, and Emira is furious and humiliated. Alix resolves to make things right.But Emira herself is aimless, broke, and wary of Alix's desire to help. At twenty-five, she is about to lose her health insurance and has no idea what to do with her life. When the video of Emira unearths someone from Alix's past, both women find themselves on a crash course that will upend everything they think they know about themselves, and each other.With empathy and piercing social commentary, Such a Fun Age explores the stickiness of transactional relationships, what it means to make someone family, and the complicated reality of being a grown up. It is a searing debut for our times.",59356
My Dark Vanessa,ISBN not found,Kate Elizabeth Russell,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Adult', 'Thriller', 'Dark']",4.10,327068,45446,373,Hardcover,"First published March 10, 2020","Exploring the psychological dynamics of the relationship between a precocious yet naïve teenage girl and her magnetic and manipulative teacher, a brilliant, all-consuming read that marks the explosive debut of an extraordinary new writer.2000. Bright, ambitious, and yearning for adulthood, fifteen-year-old Vanessa Wye becomes entangled in an affair with Jacob Strane, her magnetic and guileful forty-two-year-old English teacher. 2017. Amid the rising wave of allegations against powerful men, a reckoning is coming due. Strane has been accused of sexual abuse by a former student, who reaches out to Vanessa, and now Vanessa suddenly finds herself facing an impossible choice: remain silent, firm in the belief that her teenage self willingly engaged in this relationship, or redefine herself and the events of her past. But how can Vanessa reject her first love, the man who fundamentally transformed her and has been a persistent presence in her life? Is it possible that the man she loved as a teenager—and who professed to worship only her—may be far different from what she has always believed?Alternating between Vanessa’s present and her past, My Dark Vanessa juxtaposes memory and trauma with the breathless excitement of a teenage girl discovering the power her own body can wield. Thought-provoking and impossible to put down, this is a masterful portrayal of troubled adolescence and its repercussions that raises vital questions about agency, consent, complicity, and victimhood. Written with the haunting intimacy of The Girls and the creeping intensity of Room, My Dark Vanessa is an era-defining novel that brilliantly captures and reflects the shifting cultural mores transforming our relationships and society itself.",48664
The Glass Hotel,ISBN not found,Emily St. John Mandel,"['Fiction', 'Contemporary', 'Mystery', 'Literary Fiction', 'Audiobook', 'Adult', 'Canada']",3.69,172434,18940,307,Hardcover,"First published March 24, 2020","From the award-winning author of Station Eleven, an exhilarating novel set at the glittering intersection of two seemingly disparate events–a massive Ponzi scheme collapse and the mysterious disappearance of a woman from a ship at sea.Vincent is a bartender at the Hotel Caiette, a five-star lodging on the northernmost tip of Vancouver Island. On the night she meets Jonathan Alkaitis, a hooded figure scrawls a message on the lobby’s glass wall: Why don’t you swallow broken glass. High above Manhattan, a greater crime is committed: Alkaitis is running an international Ponzi scheme, moving imaginary sums of money through clients’ accounts. When the financial empire collapses, it obliterates countless fortunes and devastates lives. Vincent, who had been posing as Jonathan’s wife, walks away into the night. Years later, a victim of the fraud is hired to investigate a strange occurrence: a woman has seemingly vanished from the deck of a container ship between ports of call. In this captivating story of crisis and survival, Emily St. John Mandel takes readers through often hidden landscapes: campgrounds for the near-homeless, underground electronica clubs, the business of international shipping, service in luxury hotels, and life in a federal prison. Rife with unexpected beauty, The Glass Hotel is a captivating portrait of greed and guilt, love and delusion, ghosts and unintended consequences, and the infinite ways we search for meaning in our lives.",35614
Transcendent Kingdom,ISBN not found,Yaa Gyasi,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Mental Health', 'Africa', 'Adult']",4.11,147045,16864,264,Hardcover,"First published August 31, 2020","Yaa Gyasi's stunning follow-up to her acclaimed national best seller Homegoing is a powerful, raw, intimate, deeply layered novel about a Ghanaian family in Alabama.Gifty is a fifth-year candidate in neuroscience at Stanford School of Medicine studying reward-seeking behavior in mice and the neural circuits of depression and addiction. Her brother, Nana, was a gifted high school athlete who died of a heroin overdose after a knee injury left him hooked on OxyContin. Her suicidal mother is living in her bed. Gifty is determined to discover the scientific basis for the suffering she sees all around her. But even as she turns to the hard sciences to unlock the mystery of her family's loss, she finds herself hungering for her childhood faith and grappling with the evangelical church in which she was raised, whose promise of salvation remains as tantalizing as it is elusive. Transcendent Kingdom is a deeply moving portrait of a family of Ghanaian immigrants ravaged by depression and addiction and grief--a novel about faith, science, religion, love. Exquisitely written, emotionally searing, this is an exceptionally powerful follow-up to Gyasi's phenomenal debut.",31699
The Girl with the Louding Voice,ISBN not found,Abi Daré,"['Fiction', 'Contemporary', 'Africa', 'Audiobook', 'Feminism', 'Literary Fiction', 'Nigeria']",4.43,149449,16063,371,Hardcover,"First published February 4, 2020","All you have are your words.
Adunni is a fourteen-year-old Nigerian girl who knows what she wants: an education. As the only daughter of a broke father, she is a valuable commodity. Removed from school and sold as a third wife to an old man, Adunni's life amounts to this: four goats, two bags of rice, some chickens and a new TV. When unspeakable tragedy swiftly strikes in her new home, she is secretly sold as a domestic servant to a household in the wealthy enclaves of Lagos, where no one will talk about the strange disappearance of her predecessor, Rebecca. No one but Adunni... As a yielding daughter, a subservient wife, and a powerless servant, fourteen-year-old Adunni is repeatedly told that she is nothing. But Adunni won't be silenced. She is determined to find her voice - in a whisper, in song, in broken English - until she can speak for herself, for the girls like Rebecca who came before, and for all the girls who will follow.",28640
Dear Edward,here,Ann Napolitano,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Coming Of Age', 'Adult', 'Adult Fiction']",4.08,179807,18253,340,Hardcover,"First published January 6, 2020","One summer morning, twelve-year-old Edward Adler, his beloved older brother, his parents, and 183 other passengers board a flight in Newark headed for Los Angeles. Among them is a Wall Street wunderkind, a young woman coming to terms with an unexpected pregnancy, an injured vet returning from Afghanistan, a septuagenarian business tycoon, and a free-spirited woman running away from her controlling husband. And then, tragically, the plane crashes. Edward is the sole survivor.Edward's story captures the attention of the nation, but he struggles to find a place for himself in a world without his family. He continues to feel that a piece of him has been left in the sky, forever tied to the plane and all of his fellow passengers. But then he makes an unexpected discovery--one that will lead him to the answers of some of life's most profound questions: When you've lost everything, how do find yourself? How do you discover your purpose? What does it mean not just to survive, but to truly live?An alternative cover edition for this ISBN can be found here.",25384
Big Summer,ISBN not found,Jennifer Weiner,"['Fiction', 'Chick Lit', 'Romance', 'Mystery', 'Audiobook', 'Contemporary', 'Adult']",3.59,138153,12319,368,Hardcover,"First published May 5, 2020","The #1 New York Times bestselling author of the “nothing short of brilliant” (People) Mrs. Everything returns with an unforgettable novel about friendship and forgiveness set during a disastrous wedding on picturesque Cape Cod.Six years after the fight that ended their friendship, Daphne Berg is shocked when Drue Cavanaugh walks back into her life, looking as lovely and successful as ever, with a massive favor to ask. Daphne hasn’t spoken one word to Drue in all this time—she doesn’t even hate-follow her ex-best friend on social media—so when Drue asks if she will be her maid-of-honor at the society wedding of the summer, Daphne is rightfully speechless. Drue was always the one who had everything—except the ability to hold onto friends. Meanwhile, Daphne’s no longer the same self-effacing sidekick she was back in high school. She’s built a life that she loves, including a growing career as a plus-size Instagram influencer. Letting glamorous, seductive Drue back into her life is risky, but it comes with an invitation to spend a weekend in a waterfront Cape Cod mansion. When Drue begs and pleads and dangles the prospect of cute single guys, Daphne finds herself powerless as ever to resist her friend’s siren song. A sparkling novel about the complexities of female friendship, the pitfalls of living out loud and online, and the resilience of the human heart, Big Summer is a witty, moving story about family, friendship, and figuring out what matters most.",22008
