title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
Yellowface,9780063250833,R.F. Kuang,"Fiction, Contemporary, Audiobook, Literary Fiction, Thriller, Adult, Mystery",3.80,"434,299","59,749",336,Hardcover,"First published May 25, 2023","Alternate cover edition of ISBN 9780063250833.Athena Liu is a literary darling and June Hayward is literally nobody.White liesWhen Athena dies in a freak accident, June steals her unpublished manuscript and publishes it as her own under the ambiguous name Juniper Song.Dark humourBut as evidence threatens June’s stolen success, she will discover exactly how far she will go to keep what she thinks she deserves.Deadly consequences…What happens next is entirely everyone else’s fault.With its totally immersive first-person voice, Yellowface grapples with questions of diversity, racism, and cultural appropriation, as well as the terrifying alienation of social media. R.F. Kuang’s novel is timely, razor-sharp, and eminently readable.",200722
Hello Beautiful,ISBN not found,Ann Napolitano,"Fiction, Historical Fiction, Audiobook, Contemporary, Romance, Literary Fiction, Family",4.18,"300,811","28,486",416,Kindle,"First published March 14, 2023","An emotionally layered and engrossing story of a family that asks: Can love make a broken person whole?William Waters grew up in a house silenced by tragedy, where his parents could hardly bear to look at him, much less love him. So it’s a relief when his skill on the basketball court earns him a scholarship to college, far away from his childhood home. He soon meets Julia Padavano, a spirited and ambitious young woman who surprises William with her appreciation of his quiet steadiness. With Julia comes her family; she is inseparable from her three younger sisters: Sylvie, the dreamer, is happiest with her nose in a book and imagines a future different from the expected path of wife and mother; Cecelia, the family’s artist; and Emeline, who patiently takes care of all of them. Happily, the Padavanos fold Julia’s new boyfriend into their loving, chaotic household.But then darkness from William’s past surfaces, jeopardizing not only Julia’s carefully orchestrated plans for their future, but the sisters’ unshakeable loyalty to one another. The result is a catastrophic family rift that changes their lives for generations. Will the loyalty that once rooted them be strong enough to draw them back together when it matters most?Vibrating with tenderness, Hello Beautiful is a gorgeous, profoundly moving portrait of what’s possible when we choose to love someone not in spite of who they are, but because of it.",60171
The Wishing Game,ISBN not found,Meg Shaffer,"Fiction, Fantasy, Romance, Contemporary, Books About Books, Magical Realism, Mystery",4.12,"105,324","16,843",304,Hardcover,"First published May 30, 2023","Make a wish. . . .Lucy Hart knows better than anyone what it’s like to grow up without parents who loved her. In a childhood marked by neglect and loneliness, Lucy found her solace in books, namely the Clock Island series by Jack Masterson. Now a twenty-six-year-old teacher’s aide, she is able to share her love of reading with bright, young students, especially seven-year-old Christopher Lamb, who was left orphaned after the tragic death of his parents. Lucy would give anything to adopt Christopher, but even the idea of becoming a family seems like an impossible dream without proper funds and stability.But be careful what you wish for. . . .Just when Lucy is about to give up, Jack Masterson announces he’s finally written a new book. Even better, he’s holding a contest at his home on the real Clock Island, and Lucy is one of the four lucky contestants chosen to compete to win the one and only copy.For Lucy, the chance of winning the most sought-after book in the world means everything to her and Christopher. But first she must contend with ruthless book collectors, wily opponents, and the distractingly handsome (and grumpy) Hugo Reese, the illustrator of the Clock Island books. Meanwhile, Jack “the Mastermind” Masterson is plotting the ultimate twist ending that could change all their lives forever.. . . You might just get it.",57702
Tom Lake,ISBN not found,Ann Patchett,"Fiction, Audiobook, Literary Fiction, Romance, Historical Fiction, Contemporary, Family",4.03,"245,673","30,381",309,Hardcover,"First published August 1, 2023","In this beautiful and moving novel about family, love, and growing up, Ann Patchett once again proves herself one of America’s finest writers.In the spring of 2020, Lara’s three daughters return to the family's orchard in Northern Michigan. While picking cherries, they beg their mother to tell them the story of Peter Duke, a famous actor with whom she shared both a stage and a romance years before at a theater company called Tom Lake. As Lara recalls the past, her daughters examine their own lives and relationship with their mother, and are forced to reconsider the world and everything they thought they knew.Tom Lake is a meditation on youthful love, married love, and the lives parents have led before their children were born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart. As in all of her novels, Ann Patchett combines compelling narrative artistry with piercing insights into family dynamics. The result is a rich and luminous story, told with profound intelligence and emotional subtlety, that demonstrates once again why she is one of the most revered and acclaimed literary talents working today.",53470
The Five-Star Weekend,ISBN not found,Elin Hilderbrand,"Fiction, Romance, Audiobook, Chick Lit, Contemporary, Adult, Adult Fiction",4.08,"161,047","10,963",384,Hardcover,"First published June 13, 2023","From the #1 New York Times bestselling author of The Hotel Nantucket After tragedy strikes, Hollis Shaw gathers four friends from different stages in her life to spend an unforgettable weekend on Nantucket.Hollis Shaw’s life seems picture-perfect. She’s the creator of the popular food blog Hungry with Hollis and is married to Matthew, a dreamy heart surgeon. But after she and Matthew get into a heated argument one snowy morning, he leaves for the airport and is killed in a car accident. The cracks in Hollis’s perfect life—her strained marriage and her complicated relationship with her daughter, Caroline—grow deeper.So when Hollis hears about something called a “Five-Star Weekend”—one woman organizes a trip for her best friend from each phase of her life: her teenage years, her twenties, her thirties, and midlife—she decides to host her own Five-Star Weekend on Nantucket. But the weekend doesn’t turn out to be a joyful Hallmark movie.The husband of Hollis’s childhood friend Tatum arranges for Hollis’s first love, Jack Finigan, to spend time with them, stirring up old feelings. Meanwhile, Tatum is forced to play nice with abrasive and elitist Dru-Ann, Hollis’s best friend from UNC Chapel Hill. Dru-Ann’s career as a prominent Chicago sports agent is on the line after her comments about a client’s mental health issues are misconstrued online. Brooke, Hollis’s friend from their thirties, has just discovered that her husband is having an inappropriate relationship with a woman at work. Again! And then there’s Gigi, a stranger to everyone (including Hollis) who reached out to Hollis through her blog. Gigi embodies an unusual grace and, as it hap- pens, has many secrets.The Five-Star Weekend is a surprising and captivating story about friendship, love, and self-discovery set on Nantucket. It will be a weekend like no other.",45859
Someone Else's Shoes,ISBN not found,Jojo Moyes,"Fiction, Audiobook, Romance, Chick Lit, Contemporary, Adult, Adult Fiction",3.97,"174,095","14,883",438,Hardcover,"First published February 2, 2023","A story of mix-ups, mess-ups and making the most of second chances, this is the new novel from #1 New York Times bestselling author Jojo Moyes, author of Me Before You and The Giver of Stars.Who are you when you are forced to walk in someone else’s shoes?Nisha Cantor lives the globetrotting life of the seriously wealthy, until her husband announces a divorce and cuts her off. Nisha is determined to hang onto her glamorous life. But in the meantime, she must scramble to cope--she doesn’t even have the shoes she was, until a moment ago, standing in.That’s because Sam Kemp – in the bleakest point of her life – has accidentally taken Nisha’s gym bag. But Sam hardly has time to worry about a lost gym bag--she’s struggling to keep herself and her family afloat. When she tries on Nisha’s six-inch high Christian Louboutin red crocodile shoes, the resulting jolt of confidence that makes her realize something must change—and that thing is herself.Full of Jojo Moyes’ signature humor, brilliant storytelling, and warmth, Someone Else’s Shoes is a story about how just one little thing can suddenly change everything.",44333
The Invisible Hour,ISBN not found,Alice Hoffman,"Fiction, Historical Fiction, Magical Realism, Fantasy, Time Travel, Audiobook, Books About Books",3.63,"28,311","4,356",272,Hardcover,"First published August 15, 2023","The latest New York Times bestseller from beloved author Alice Hoffman celebrates the enduring magic of books and is a “wonderful story of love and growth” (Stephen King).One June day when Mia Jacob can no longer see a way to survive, the power of words saves her. The Scarlet Letter was written almost two hundred years earlier, but it seems to tell the story of Mia’s mother, Ivy, and their life inside the Community—an oppressive cult in western Massachusetts where contact with the outside world is forbidden. But how could this be? How could Nathaniel Hawthorne have so perfectly captured the pain and loss that Mia carries inside her?Through a journey of heartbreak, love, and time, Mia must abandon the rules she was raised with at the Community. As she does, she realizes that reading can transport you to other worlds or bring them to you, and that readers and writers affect one another in mysterious ways. She learns that time is more fluid than she can imagine, and that love is stronger than any chains that bind you.As a girl Mia fell in love with a book. Now as a young woman she falls in love with a brilliant writer as she makes her way back in time. But what if Nathaniel Hawthorne never wrote The Scarlet Letter ? And what if Mia Jacob never found it on the day she planned to die?From “the reigning queen of magical realism” (Kristin Hannah, New York Times bestselling author), this is the story of one woman’s dream. For a little while it came true.",24132
Maame,ISBN not found,Jessica George,"Fiction, Contemporary, Audiobook, Literary Fiction, Coming Of Age, Adult, Adult Fiction",4.07,"84,055","10,998",320,Hardcover,"First published January 31, 2023","Romance finalista do TikTok Book Awards na categoria livro do ano. A estreia literária de Jessica George apresenta uma jornada da heroína moderna, protagonizada por Maddie: os desafios de lidar com a família, as tragédias, os perigos — e as recompensas — de se arriscar na vida e no amor.Aos 25 anos, Maddie está esperando que sua vida comece para valer. Enquanto observa colegas que moram sozinhas, namoram e tomam os primeiros passos de suas carreiras, a maior parte do seu dia a dia é dedicada ao cuidado do pai, que sofre de doença de Parkinson. Quando finalmente tem a chance de viver novas experiências, ela se aventura e encara as alegrias e desafios de amadurecer e se encontrar.",21854
The Collected Regrets of Clover,ISBN not found,Mikki Brammer,"Fiction, Contemporary, Romance, Audiobook, Literary Fiction, Death, Adult",4.18,"56,974","8,524",320,Hardcover,"First published May 9, 2023","What’s the point of giving someone a beautiful death if you can’t give yourself a beautiful life?From the day she watched her kindergarten teacher drop dead during a dramatic telling of Peter Rabbit , Clover Brooks has felt a stronger connection with the dying than she has with the living. After the beloved grandfather who raised her dies alone while she is traveling, Clover becomes a death doula in New York City, dedicating her life to ushering people peacefully through their end-of-life process.Clover spends so much time with the dying that she has no life of her own, until the final wishes of a feisty old woman send Clover on a road trip to uncover a forgotten love story—and perhaps, her own happy ending. As she finds herself struggling to navigate the uncharted roads of romance and friendship, Clover is forced to examine what she really wants, and whether she’ll have the courage to go after it.Probing, clever, and hopeful, The Collected Regrets of Clover is perfect for readers of The Midnight Library and Eleanor Oliphant is Completely Fine as it turns the normally taboo subject of death into a reason to celebrate life.",18050
Pineapple Street,ISBN not found,Jenny   Jackson,"Fiction, Audiobook, Contemporary, Literary Fiction, Family, Historical Fiction, Adult",3.58,"154,265","14,428",304,Hardcover,"First published March 7, 2023","Darley, the eldest daughter in the well-connected, old money Stockton family, followed her heart, trading her job and her inheritance for motherhood but giving up far too much in the process; Sasha, a middle-class New England girl, has married into the Brooklyn Heights family, and finds herself cast as the arriviste outsider; and Georgiana, the baby of the family, has fallen in love with someone she can’t have and must decide what kind of person she wants to be.  Shot through with the indulgent pleasures of life among New York’s one-percenters, Pineapple Street is an addictive, escapist novel that sparkles with wit. Full of recognizable, lovable—if fallible—characters, it’s about the peculiar unknowability of someone else’s family, the miles between the haves and have-nots, and the insanity of first love—all wrapped in a deliciously funny, sharply observed debut of family, love, and class.",17864
