title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
"Beautiful World, Where Are You",ISBN not found,Sally Rooney,"['Fiction', 'Contemporary', 'Romance', 'Literary Fiction', 'Audiobook', 'Adult', 'Ireland']",3.54,389308,46048,356,Hardcover,"First published September 7, 2021","Alice, a novelist, meets Felix, who works in a warehouse, and asks him if he’d like to travel to Rome with her. In Dublin, her best friend, Eileen, is getting over a break-up and slips back into flirting with Simon, a man she has known since childhood. Alice, Felix, Eileen, and Simon are still young—but life is catching up with them. They desire each other, they delude each other, they get together, they break apart. They have sex, they worry about sex, they worry about their friendships and the world they live in. Are they standing in the last lighted room before the darkness, bearing witness to something? Will they find a way to believe in a beautiful world?",69770
Dial A for Aunties,ISBN not found,Jesse Q. Sutanto,"['Romance', 'Fiction', 'Mystery', 'Contemporary', 'Audiobook', 'Adult', 'Humor']",3.72,92923,16805,299,Hardcover,"First published April 27, 2021","What happens when you mix 1 (accidental) murder with 2 thousand wedding guests, and then toss in a possible curse on 3 generations of an immigrant Chinese-Indonesian family?You get 4 meddling Asian aunties coming to the rescue!When Meddelin Chan ends up accidentally killing her blind date, her meddlesome mother calls for her even more meddlesome aunties to help get rid of the body. Unfortunately, a dead body proves to be a lot more challenging to dispose of than one might anticipate, especially when it is inadvertently shipped in a cake cooler to the over-the-top billionaire wedding Meddy, her Ma, and aunties are working at an island resort on the California coastline. It's the biggest job yet for the family wedding business—""Don't leave your big day to chance, leave it to the Chans!""—and nothing, not even an unsavory corpse, will get in the way of her auntie's perfect buttercream flowers.But things go from inconvenient to downright torturous when Meddy's great college love—and biggest heartbreak—makes a surprise appearance amid the wedding chaos. Is it possible to escape murder charges, charm her ex back into her life, and pull off a stunning wedding all in one weekend?",43054
Cloud Cuckoo Land,ISBN not found,Anthony Doerr,"['Fiction', 'Historical Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Literary Fiction', 'Historical']",4.26,214661,28964,626,Hardcover,"First published September 28, 2021","When everything is lost, it’s our stories that survive.How do we weather the end of things? Cloud Cuckoo Land brings together an unforgettable cast of dreamers and outsiders from past, present and future to offer a vision of survival against all odds.Constantinople, 1453:An orphaned seamstress and a cursed boy with a love for animals risk everything on opposite sides of a city wall to protect the people they love.Idaho, 2020:An impoverished, idealistic kid seeks revenge on a world that’s crumbling around him. Can he go through with it when a gentle old man stands between him and his plans?Unknown, Sometime in the Future:With her tiny community in peril, Konstance is the last hope for the human race. To find a way forward, she must look to the oldest stories of all for guidance.Bound together by a single ancient text, these tales interweave to form a tapestry of solace and resilience and a celebration of storytelling itself. Like its predecessor All the Light We Cannot See, Anthony Doerr’s new novel is a tale of hope and of profound human connection.",37952
Once There Were Wolves,ISBN not found,Charlotte McConaghy,"['Fiction', 'Mystery', 'Contemporary', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Literary Fiction']",4.11,85660,11169,258,Hardcover,"First published August 3, 2021","From the author of the beloved national bestseller Migrations, a pulse-pounding new novel set in the wild Scottish Highlands.Inti Flynn arrives in Scotland with her twin sister, Aggie, to lead a team of biologists tasked with reintroducing fourteen gray wolves into the remote Highlands. She hopes to heal not only the dying landscape, but Aggie, too, unmade by the terrible secrets that drove the sisters out of Alaska.Inti is not the woman she once was, either, changed by the harm she’s witnessed—inflicted by humans on both the wild and each other. Yet as the wolves surprise everyone by thriving, Inti begins to let her guard down, even opening herself up to the possibility of love. But when a farmer is found dead, Inti knows where the town will lay blame. Unable to accept her wolves could be responsible, Inti makes a reckless decision to protect them. But if the wolves didn’t make the kill, then who did? And what will Inti do when the man she is falling for seems to be the prime suspect?Propulsive and spell-binding, Charlotte McConaghy's Once There Were Wolves is the unforgettable story of a woman desperate to save the creatures she loves—if she isn’t consumed by a wild that was once her refuge.",35102
The Paper Palace,here,Miranda Cowley Heller,"['Fiction', 'Romance', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Adult', 'Book Club']",3.81,321850,23474,400,Hardcover,"First published July 6, 2021","An alternative cover edition for this ISBN can be found here.
""This house, this place, knows all my secrets.""
It is a perfect July morning, and Elle, a fifty-year-old happily married mother of three, awakens at ""The Paper Palace""--the family summer place which she has visited every summer of her life. But this morning is different: last night Elle and her oldest friend Jonas crept out the back door into the darkness and had sex with each other for the first time, all while their spouses chatted away inside. Now, over the next twenty-four hours, Elle will have to decide between the life she has made with her genuinely beloved husband, Peter, and the life she always imagined she would have had with her childhood love, Jonas, if a tragic event hadn't forever changed the course of their lives. As Heller colors in the experiences that have led Elle to this day, we arrive at her ultimate decision with all its complexity. Tender yet devastating, The Paper Palace considers the tensions between desire and dignity, the legacies of abuse, and the crimes and misdemeanors of families.",28188
The Wish,ISBN not found,Nicholas Sparks,"['Romance', 'Fiction', 'Audiobook', 'Christmas', 'Contemporary', 'Chick Lit', 'Adult']",4.35,134748,12548,387,Hardcover,"First published September 28, 2021","1996 was the year that changed everything for Maggie Dawes. Sent away at sixteen to live with an aunt she barely knew in Ocracoke, a remote village on North Carolina’s Outer Banks, she could think only of the friends and family she left behind . . . until she met Bryce Trickett, one of the few teenagers on the island. Handsome, genuine, and newly admitted to West Point, Bryce showed her how much there was to love about the wind-swept beach town—and introduced her to photography, a passion that would define the rest of her life.By 2019, Maggie is a renowned travel photographer. She splits her time between running a successful gallery in New York and photographing remote locations around the world. But this year she is unexpectedly grounded over Christmas, struggling to come to terms with a sobering medical diagnosis. Increasingly dependent on a young assistant, she finds herself becoming close to him.As they count down the last days of the season together, she begins to tell him the story of another Christmas, decades earlier—and the love that set her on a course she never could have imagined.",27418
The Guncle,ISBN not found,Steven  Rowley,"['Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Humor', 'Adult', 'Queer']",4.14,135734,17437,326,Hardcover,"First published May 25, 2021","Patrick, or Gay Uncle Patrick (GUP, for short), has always loved his niece, Maisie, and nephew, Grant. That is, he loves spending time with them when they come out to Palm Springs for weeklong visits, or when he heads home to Connecticut for the holidays. But in terms of caretaking and relating to two children, no matter how adorable, Patrick is honestly a bit out of his league.So when tragedy strikes and Maisie and Grant lose their mother and Patrick’s brother has a health crisis of his own, Patrick finds himself suddenly taking on the role of primary guardian. Despite having a set of “Guncle Rules” ready to go, Patrick has no idea what to expect, having spent years barely holding on after the loss of his great love, a somewhat-stalled career, and a lifestyle not-so-suited to a six- and a nine-year-old. Quickly realizing that parenting—even if temporary—isn’t solved with treats and jokes, Patrick’s eyes are opened to a new sense of responsibility, and the realization that, sometimes, even being larger than life means you’re unfailingly human.",26688
"Detransition, Baby",ISBN not found,Torrey Peters,"['Fiction', 'LGBT', 'Queer', 'Contemporary', 'Literary Fiction', 'Transgender', 'Audiobook']",3.95,77390,9569,337,Hardcover,"First published January 12, 2021","A whipsmart debut about three women—transgender and cisgender—whose lives collide after an unexpected pregnancy forces them to confront their deepest desires around gender, motherhood, and sex.Reese almost had it all: a loving relationship with Amy, an apartment in New York City, a job she didn't hate. She had scraped together what previous generations of trans women could only dream of: a life of mundane, bourgeois comforts. The only thing missing was a child. But then her girlfriend, Amy, detransitioned and became Ames, and everything fell apart. Now Reese is caught in a self-destructive pattern: avoiding her loneliness by sleeping with married men.Ames isn't happy either. He thought detransitioning to live as a man would make life easier, but that decision cost him his relationship with Reese—and losing her meant losing his only family. Even though their romance is over, he longs to find a way back to her. When Ames's boss and lover, Katrina, reveals that she's pregnant with his baby—and that she's not sure whether she wants to keep it—Ames wonders if this is the chance he's been waiting for. Could the three of them form some kind of unconventional family—and raise the baby together?This provocative debut is about what happens at the emotional, messy, vulnerable corners of womanhood that platitudes and good intentions can't reach. Torrey Peters brilliantly and fearlessly navigates the most dangerous taboos around gender, sex, and relationships, gifting us a thrillingly original, witty, and deeply moving novel.",23814
Golden Girl,ISBN not found,Elin Hilderbrand,"['Fiction', 'Audiobook', 'Chick Lit', 'Romance', 'Contemporary', 'Mystery', 'Adult Fiction']",4.17,141762,9294,384,Hardcover,"First published June 1, 2021","In this #1 bestselling page-turner a Nantucket novelist has one final summer to protect her secrets while her loved ones on earth learn to live without their golden girl.On a perfect June day, Vivian Howe, author of thirteen beach novels and mother of three nearly grown children, is killed in a hit-and-run car accident while jogging near her home on Nantucket. She ascends to the Beyond where she's assigned to a Person named Martha, who allows Vivi to watch what happens below for one last summer. Vivi also is granted three “nudges” to change the outcome of events on earth, and with her daughter Willa on her third miscarriage, Carson partying until all hours, and Leo currently “off again” with his high-maintenance girlfriend, she’ll have to think carefully where to use them.From the Beyond, Vivi watches “The Chief” Ed Kapenash investigate her death, but her greatest worry is her final book, which contains a secret from her own youth that could be disastrous for her reputation. But when hidden truths come to light, Vivi’s family will have to sort out their past and present mistakes—with or without a nudge of help from above—while Vivi finally lets them grow without her.With all of Elin’s trademark beach scenes, mouth-watering meals, and picture-perfect homes, plus a heartfelt message—the people we lose never really leave us—Golden Girl is a beach book unlike any other.",22824
The Reading List,ISBN not found,Sara Nisha Adams,"['Fiction', 'Books About Books', 'Contemporary', 'Audiobook', 'Romance', 'Adult', 'Adult Fiction']",4.08,101803,14606,368,Hardcover,"First published July 22, 2021","An unforgettable and heartwarming debut about how a chance encounter with a list of library books helps forge an unlikely friendship between two very different people in a London suburb.Widower Mukesh lives a quiet life in the London Borough of Ealing after losing his beloved wife. He shops every Wednesday, goes to Temple, and worries about his granddaughter, Priya, who hides in her room reading while he spends his evenings watching nature documentaries.Aleisha is a bright but anxious teenager working at the local library for the summer when she discovers a crumpled-up piece of paper in the back of To Kill a Mockingbird. It’s a list of novels that she’s never heard of before. Intrigued, and a little bored with her slow job at the checkout desk, she impulsively decides to read every book on the list, one after the other. As each story gives up its magic, the books transport Aleisha from the painful realities she’s facing at home.When Mukesh arrives at the library, desperate to forge a connection with his bookworm granddaughter, Aleisha passes along the reading list… hoping that it will be a lifeline for him too. Slowly, the shared books create a connection between two lonely souls, as fiction helps them escape their grief and everyday troubles and find joy again.",20849
That Summer,ISBN not found,Jennifer Weiner,"['Fiction', 'Audiobook', 'Chick Lit', 'Romance', 'Contemporary', 'Adult', 'Adult Fiction']",3.75,82098,6054,432,Hardcover,"First published May 11, 2021","From the #1 New York Times bestselling author of Big Summer comes another timely and deliciously twisty novel of intrigue, secrets, and the transformative power of female friendship, set on beautiful Cape Cod.Daisy Shoemaker can’t sleep. With a thriving cooking business, full schedule of volunteer work, and a beautiful home in the Philadelphia suburbs, she should be content. But her teenage daughter can be a handful; her husband can be distant, her work can feel trivial, and she has lots of acquaintances, but no real friends. Still, Daisy knows she’s got it good. So why is she up all night? While Daisy tries to identify the root of her dissatisfaction, she’s also receiving misdirected emails meant for a woman named Diana Starling, whose email address is just one punctuation mark away from her own. While Daisy’s driving carpools, Diana is chairing meetings. While Daisy’s making dinner, Diana’s making plans to reorganize corporations. Diana’s glamorous, sophisticated, single-lady life is miles away from Daisy’s simpler existence. When an apology leads to an invitation, the two women meet and become friends. But, as they get closer, we learn that their connection was not completely accidental. Who IS this other woman, and what does she want with Daisy? From the manicured Main Line of Philadelphia to the wild landscape of the Outer Cape, written with Jennifer Weiner’s signature wit and sharp observations, THAT SUMMER is a story about surviving our pasts, confronting our futures, and the sustaining bonds of friendship.",7096
We Are the Brennans,ISBN not found,Tracey Lange,"['Fiction', 'Contemporary', 'Audiobook', 'Family', 'Literary Fiction', 'Romance', 'Adult']",3.81,74639,7910,274,Hardcover,"First published August 3, 2021","In the vein of Mary Beth Keane’s Ask Again, Yes and Cynthia D'Aprix Sweeney's The Nest, Tracey Lange’s We Are the Brennans explores the staying power of shame―and the redemptive power of love―in an Irish Catholic family torn apart by secrets.When twenty-nine-year-old Sunday Brennan wakes up in a Los Angeles hospital, bruised and battered after a drunk driving accident she caused, she swallows her pride and goes home to her family in New York. But it’s not easy. She deserted them all―and her high school sweetheart―five years before with little explanation, and they've got questions.Sunday is determined to rebuild her life back on the east coast, even if it does mean tiptoeing around resentful brothers and an ex-fiancé. The longer she stays, however, the more she realizes they need her just as much as she needs them. When a dangerous man from her past brings her family’s pub business to the brink of financial ruin, the only way to protect them is to upend all their secrets―secrets that have damaged the family for generations and will threaten everything they know about their lives. In the aftermath, the Brennan family is forced to confront painful mistakes―and ultimately find a way forward, together.",6863
