title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
The Testaments,here.,Margaret Atwood,"['Fiction', 'Dystopia', 'Science Fiction', 'Feminism', 'Audiobook', 'Classics', 'Adult']",4.19,352440,31334,422,Hardcover,"First published September 10, 2019","When the van door slammed on Offred's future at the end of The Handmaid's Tale, readers had no way of telling what lay ahead for her--freedom, prison or death.With The Testaments, the wait is over.Margaret Atwood's sequel picks up the story more than fifteen years after Offred stepped into the unknown, with the explosive testaments of three female narrators from Gilead.In this brilliant sequel to The Handmaid's Tale, acclaimed author Margaret Atwood answers the questions that have tantalized readers for decades.""Dear Readers: Everything you've ever asked me about Gilead and its inner workings is the inspiration for this book. Well, almost everything! The other inspiration is the world we've been living in."" --Margaret AtwoodAn alternate cover edition of ISBN 978-0385543781 can be found here.",98291
Normal People,ISBN not found,Sally Rooney,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Ireland', 'Adult']",3.81,1388906,135364,273,Hardcover,"First published August 28, 2018","At school Connell and Marianne pretend not to know each other. He’s popular and well-adjusted, star of the school soccer team while she is lonely, proud, and intensely private. But when Connell comes to pick his mother up from her housekeeping job at Marianne’s house, a strange and indelible connection grows between the two teenagers - one they are determined to conceal.A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years in college, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. Then, as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other.Sally Rooney brings her brilliant psychological acuity and perfectly spare prose to a story that explores the subtleties of class, the electricity of first love, and the complex entanglements of family and friendship.",40081
Where the Forest Meets the Stars,ISBN not found,Glendy Vanderah,"['Fiction', 'Contemporary', 'Mystery', 'Romance', 'Fantasy', 'Magical Realism', 'Audiobook']",4.14,192265,16504,332,Hardcover,"First published March 1, 2019","In this gorgeously stunning debut, a mysterious child teaches two strangers how to love and trust again.After the loss of her mother and her own battle with breast cancer, Joanna Teale returns to her graduate research on nesting birds in rural Illinois, determined to prove that her recent hardships have not broken her. She throws herself into her work from dusk to dawn, until her solitary routine is disrupted by the appearance of a mysterious child who shows up at her cabin barefoot and covered in bruises.The girl calls herself Ursa, and she claims to have been sent from the stars to witness five miracles. With concerns about the child’s home situation, Jo reluctantly agrees to let her stay―just until she learns more about Ursa’s past.Jo enlists the help of her reclusive neighbor, Gabriel Nash, to solve the mystery of the charming child. But the more time they spend together, the more questions they have. How does a young girl not only read but understand Shakespeare? Why do good things keep happening in her presence? And why aren’t Jo and Gabe checking the missing children’s website anymore?Though the three have formed an incredible bond, they know difficult choices must be made. As the summer nears an end and Ursa gets closer to her fifth miracle, her dangerous past closes in. When it finally catches up to them, all of their painful secrets will be forced into the open, and their fates will be left to the stars.",29342
"Ask Again, Yes",ISBN not found,Mary Beth Keane,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Adult', 'Adult Fiction', 'Family']",3.94,192485,16702,388,Hardcover,"First published May 28, 2019","Francis Gleeson and Brian Stanhope, two rookie cops in the NYPD, live next door to each other outside the city. What happens behind closed doors in both houses—the loneliness of Francis's wife, Lena, and the instability of Brian's wife, Anne—sets the stage for explosive events to come. Ask Again, Yes is a moving novel about two families, the bond between their children, a tragedy that reverberates over four decades, the daily intimacies of marriage, and the power of forgiveness.",26653
Queenie,ISBN not found,Candice Carty-Williams,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Mental Health', 'Feminism', 'Race']",3.86,142313,13672,330,Hardcover,"First published March 19, 2019","Bridget Jones’s Diary meets Americanah in this disarmingly honest, boldly political, and truly inclusive novel that will speak to anyone who has gone looking for love and found something very different in its place.Queenie Jenkins is a 25-year-old Jamaican British woman living in London, straddling two cultures and slotting neatly into neither. She works at a national newspaper, where she’s constantly forced to compare herself to her white middle class peers. After a messy break up from her long-term white boyfriend, Queenie seeks comfort in all the wrong places…including several hazardous men who do a good job of occupying brain space and a bad job of affirming self-worth.As Queenie careens from one questionable decision to another, she finds herself wondering, “What are you doing? Why are you doing it? Who do you want to be?”—all of the questions today’s woman must face in a world trying to answer them for her..",21524
On Earth We're Briefly Gorgeous,ISBN not found,Ocean Vuong,"['Fiction', 'Poetry', 'LGBT', 'Contemporary', 'Queer', 'Literary Fiction', 'Adult']",4.04,300393,40890,246,Hardcover,"First published June 4, 2019","On Earth We're Briefly Gorgeous is a letter from a son to a mother who cannot read. Written when the speaker, Little Dog, is in his late twenties, the letter unearths a family's history that began before he was born — a history whose epicenter is rooted in Vietnam — and serves as a doorway into parts of his life his mother has never known, all of it leading to an unforgettable revelation. At once a witness to the fraught yet undeniable love between a single mother and her son, it is also a brutally honest exploration of race, class, and masculinity. Asking questions central to our American moment, immersed as we are in addiction, violence, and trauma, but undergirded by compassion and tenderness, On Earth We're Briefly Gorgeous is as much about the power of telling one's own story as it is about the obliterating silence of not being heard.With stunning urgency and grace, Ocean Vuong writes of people caught between disparate worlds, and asks how we heal and rescue one another without forsaking who we are. The question of how to survive, and how to make of it a kind of joy, powers the most important debut novel of many years.",21177
A Woman Is No Man,ISBN not found,Etaf Rum,"['Fiction', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Feminism', 'Literary Fiction', 'Adult']",4.26,149827,16499,339,Hardcover,"First published March 5, 2019","This debut novel by a Palestinian-American voice takes us inside the lives of a conservative Arab family living in America. In Brooklyn, eighteen-year-old Deya is starting to meet with suitors. Though she doesn’t want to get married, her grandparents give her no choice. History is repeating itself: Deya’s mother, Isra, also had no choice when she left Palestine as a teenager to marry Adam. Though Deya was raised to believe her parents died in a car accident, a secret note from a mysterious, yet familiar-looking woman makes Deya question everything she was told about her past. As the narrative alternates between the lives of Deya and Isra, she begins to understand the dark, complex secrets behind her community.",20211
The Overdue Life of Amy Byler,ISBN not found,Kelly Harms,"['Fiction', 'Romance', 'Chick Lit', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction']",3.84,96512,8730,332,Hardcover,"First published May 1, 2019","Overworked and underappreciated, single mom Amy Byler needs a break. So when the guilt-ridden husband who abandoned her shows up and offers to take care of their kids for the summer, she accepts his offer and escapes rural Pennsylvania for New York City.Usually grounded and mild mannered, Amy finally lets her hair down in the city that never sleeps. She discovers a life filled with culture, sophistication, and—with a little encouragement from her friends—a few blind dates. When one man in particular makes quick work of Amy’s heart, she risks losing herself completely in the unexpected escape, and as the summer comes to an end, Amy realizes too late that she must make an impossible decision: stay in this exciting new chapter of her life, or return to the life she left behind.But before she can choose, a crisis forces the two worlds together, and Amy must stare down a future where she could lose both sides of herself, and every dream she’s ever nurtured, in the beat of a heart.",15892
"Olive, Again",ISBN not found,Elizabeth Strout,"['Fiction', 'Short Stories', 'Literary Fiction', 'Audiobook', 'Contemporary', 'Adult Fiction', 'Novels']",4.11,97188,10299,289,Hardcover,"First published October 15, 2019","Prickly, wry, resistant to change yet ruthlessly honest and deeply empathetic, Olive Kitteridge is “a compelling life force” (San Francisco Chronicle). The New Yorker has said that Elizabeth Strout “animates the ordinary with an astonishing force,” and she has never done so more clearly than in these pages, where the iconic Olive struggles to understand not only herself and her own life but the lives of those around her in the town of Crosby, Maine. Whether with a teenager coming to terms with the loss of her father, a young woman about to give birth during a hilariously inopportune moment, a nurse who confesses a secret high school crush, or a lawyer who struggles with an inheritance she does not want to accept, the unforgettable Olive will continue to startle us, to move us, and to inspire us—in Strout’s words—“to bear the burden of the mystery with as much grace as we can.”",15767
The Most Fun We Ever Had,ISBN not found,Claire Lombardo,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Family', 'Adult Fiction', 'Adult']",3.95,79663,8643,532,Hardcover,"First published June 25, 2019","A multigenerational novel in which the four adult daughters of a Chicago couple--still madly in love after forty years--recklessly ignite old rivalries until a long-buried secret threatens to shatter the lives they've built.When Marilyn Connolly and David Sorenson fall in love in the 1970s, they are blithely ignorant of all that's to come. By 2016, their four radically different daughters are each in a state of unrest: Wendy, widowed young, soothes herself with booze and younger men; Violet, a litigator-turned-stay-at-home-mom, battles anxiety and self-doubt when the darkest part of her past resurfaces; Liza, a neurotic and newly tenured professor, finds herself pregnant with a baby she's not sure she wants by a man she's not sure she loves; and Grace, the dawdling youngest daughter, begins living a lie that no one in her family even suspects. Above it all, the daughters share the lingering fear that they will never find a love quite like their parents'.As the novel moves through the tumultuous year following the arrival of Jonah Bendt--given up by one of the daughters in a closed adoption fifteen years before--we are shown the rich and varied tapestry of the Sorensons' past: years marred by adolescence, infidelity, and resentment, but also the transcendent moments of joy that make everything else worthwhile.",12291
